address,suburb,lot_area_sqm,centroid_lat,centroid_lon,is_corner_lot,n_vertices,size_flag,zone,is_heritage,is_foreshore,is_reservation,is_acid_sulfate,drop_reason,verified_clean
14 Kirrang Street Wareemba,Wareemba,730.9,-33.858895,151.133194,False,5,normal,R2,False,False,True,True,,True
145-147 Hampden Road Wareemba,Wareemba,1712.6,-33.855389,151.135129,True,6,normal,R3,False,False,False,False,wrong_zone:R3,False
15 Coranto Street Wareemba,Wareemba,492.5,-33.857621,151.133976,False,5,normal,R2,False,False,True,True,,True
15 Wareemba Street Wareemba,Wareemba,624.5,-33.856103,151.136172,False,5,normal,R2,False,False,True,True,,True
153 Hampden Road Wareemba,Wareemba,680.3,-33.855239,151.13475,False,5,normal,R3,False,False,False,False,wrong_zone:R3,False
16 Cecil Street Wareemba,Wareemba,516.2,-33.858769,151.129465,True,8,normal,R2,False,False,True,True,,True
16 Gartfern Avenue Wareemba,Wareemba,571.5,-33.859722,151.132678,True,6,normal,R2,False,False,True,True,,True
16 Kirrang Street Wareemba,Wareemba,653.7,-33.858847,151.133042,False,5,normal,R2,False,False,True,True,,True
16 Reginald Street Wareemba,Wareemba,522.6,-33.857789,151.129449,True,7,normal,R2,False,False,True,True,,True
16 Wareemba Street Wareemba,Wareemba,673.6,-33.855868,151.135565,False,5,normal,R2,False,False,True,True,,True
161 Hampden Road Wareemba,Wareemba,1602.2,-33.855521,151.134311,True,6,normal,R3,False,False,False,False,wrong_zone:R3,False
167 Hampden Road Wareemba,Wareemba,1921.9,-33.855621,151.133826,True,9,normal,R3,False,False,False,False,wrong_zone:R3,False
17 Coranto Street Wareemba,Wareemba,527.0,-33.857551,151.133874,False,5,normal,R2,False,False,True,True,,True
17 Irene Street Wareemba,Wareemba,532.8,-33.857479,151.129025,False,5,normal,R2,False,False,True,True,,True
177 Hampden Road Wareemba,Wareemba,1409.7,-33.855646,151.133255,False,5,normal,R3,False,False,False,False,wrong_zone:R3,False
177A Hampden Road Wareemba,Wareemba,1295.1,-33.855684,151.133089,True,9,normal,R3,False,False,False,False,wrong_zone:R3,False
18 Cecil Street Wareemba,Wareemba,622.4,-33.858809,151.129389,True,9,normal,R2,False,False,True,True,,True
18 Gartfern Avenue Wareemba,Wareemba,556.9,-33.859742,151.13253,True,6,normal,R2,False,False,True,True,,True
18 Kirrang Street Wareemba,Wareemba,623.9,-33.858926,151.132919,False,5,normal,R2,False,False,True,True,,True
19 Coranto Street Wareemba,Wareemba,467.8,-33.857684,151.133794,True,7,normal,R2,False,False,True,True,,True
19 Irene Street Wareemba,Wareemba,485.9,-33.857411,151.128939,False,5,normal,R2,False,False,True,True,,True
19 Kirrang Street Wareemba,Wareemba,621.1,-33.859469,151.132835,True,6,normal,R2,False,False,True,True,,True
19 Reginald Street Wareemba,Wareemba,511.1,-33.858431,151.129216,True,6,normal,R2,False,False,True,True,,True
19 Wareemba Street Wareemba,Wareemba,589.5,-33.856458,151.136098,False,5,normal,R2,False,False,True,True,,True
1A Wareemba Street Wareemba,Wareemba,580.3,-33.855099,151.136383,False,5,normal,R2,False,False,True,True,,True
2 Coralie Street Wareemba,Wareemba,487.1,-33.856013,151.132371,True,7,normal,R3,False,False,False,False,wrong_zone:R3,False
20 Coranto Street Wareemba,Wareemba,458.3,-33.857083,151.133525,False,5,normal,R2,False,False,True,True,,True
20 Kirrang Street Wareemba,Wareemba,671.3,-33.85894,151.13279,False,5,normal,R2,False,False,True,True,,True
20 Reginald Street Wareemba,Wareemba,493.2,-33.857806,151.129296,True,7,normal,R2,False,False,True,True,,True
20 Wareemba Street Wareemba,Wareemba,605.6,-33.856524,151.135422,False,5,normal,R2,False,False,True,True,,True
20A Reginald Street Wareemba,Wareemba,520.0,-33.857814,151.129215,True,7,normal,R2,False,False,True,True,,True
21 Gartfern Avenue Wareemba,Wareemba,580.4,-33.860185,151.132295,False,5,normal,R2,False,False,True,True,,True
21 Irene Street Wareemba,Wareemba,1193.5,-33.857513,151.128837,False,5,normal,R2,False,False,True,True,,True
21 Kirrang Street Wareemba,Wareemba,615.8,-33.859486,151.132702,True,6,normal,R2,False,False,True,True,,True
22 Gartfern Avenue Wareemba,Wareemba,459.7,-33.859778,151.132268,True,6,normal,R2,False,False,True,True,,True
22 Kirrang Street Wareemba,Wareemba,692.5,-33.858956,151.132655,False,5,normal,R2,False,False,True,True,,True
23 Coranto Street Wareemba,Wareemba,963.1,-33.857712,151.133624,True,8,normal,R2,False,False,True,True,,True
23 Gartfern Avenue Wareemba,Wareemba,606.4,-33.860208,151.132133,False,5,normal,R2,False,False,True,True,,True
23 Kirrang Street Wareemba,Wareemba,636.1,-33.859505,151.132554,True,6,normal,R2,False,False,True,True,,True
23 Reginald Street Wareemba,Wareemba,619.0,-33.858326,151.128843,True,7,normal,R2,False,False,True,True,,True
24 Coranto Street Wareemba,Wareemba,970.6,-33.857031,151.133303,False,5,normal,R2,False,False,True,True,,True
24 Wareemba Street Wareemba,Wareemba,1032.3,-33.856706,151.135413,False,5,normal,R2,False,False,True,True,,True
242 Great North Road Wareemba,Wareemba,691.2,-33.859068,151.131363,False,5,normal,R2,False,False,True,True,,True
244 Great North Road Wareemba,Wareemba,703.9,-33.858942,151.131441,False,5,normal,R2,False,False,True,True,,True
248 Great North Road Wareemba,Wareemba,637.9,-33.858712,151.13144,False,5,normal,R2,False,False,True,True,,True
25 Kirrang Street Wareemba,Wareemba,645.6,-33.859468,151.132424,True,6,normal,R2,False,False,True,True,,True
250 Great North Road Wareemba,Wareemba,768.3,-33.858586,151.131403,True,6,normal,R2,False,False,True,True,,True
252 Great North Road Wareemba,Wareemba,826.8,-33.858328,151.13146,False,5,normal,R3,False,False,False,False,wrong_zone:R3,False
254 Great North Road Wareemba,Wareemba,754.9,-33.858211,151.131438,False,5,normal,R3,False,False,False,False,wrong_zone:R3,False
256 Great North Road Wareemba,Wareemba,782.8,-33.858097,151.131417,False,5,normal,R3,False,False,False,False,wrong_zone:R3,False
258 Great North Road Wareemba,Wareemba,814.8,-33.857977,151.131394,False,5,normal,E1,False,False,False,False,wrong_zone:E1,False
26 Coranto Street Wareemba,Wareemba,931.4,-33.857126,151.133153,False,5,normal,R2,False,False,True,True,,True
26 Gartfern Avenue Wareemba,Wareemba,468.8,-33.859813,151.132023,True,6,normal,R2,False,False,True,True,,True
27 Gartfern Avenue Wareemba,Wareemba,558.1,-33.860255,151.131806,False,5,normal,R2,False,False,True,True,,True
27 Kirrang Street Wareemba,Wareemba,648.1,-33.859537,151.132302,True,6,normal,R2,False,False,True,True,,True
28 Coranto Street Wareemba,Wareemba,913.7,-33.857145,151.132993,False,5,normal,R2,False,False,True,True,,True
28 Gartfern Avenue Wareemba,Wareemba,553.8,-33.859832,151.131891,True,6,normal,R2,False,False,True,True,,True
280 Great North Road Wareemba,Wareemba,796.0,-33.857222,151.131142,False,5,normal,E1,False,False,False,False,wrong_zone:E1,False
282 Great North Road Wareemba,Wareemba,796.1,-33.857091,151.131198,False,5,normal,E1,False,False,False,False,wrong_zone:E1,False
284 Great North Road Wareemba,Wareemba,750.7,-33.856972,151.13117,False,5,normal,E1,False,False,False,False,wrong_zone:E1,False
29 Gartfern Avenue Wareemba,Wareemba,620.4,-33.860278,151.131646,False,5,normal,R2,False,False,True,True,,True
29 Kirrang Street Wareemba,Wareemba,619.6,-33.859555,151.13216,True,6,normal,R2,False,False,True,True,,True
296-298 Great North Road Wareemba,Wareemba,1533.3,-33.856419,151.130971,True,7,normal,E1,False,False,False,False,wrong_zone:E1,False
2A Coranto Street Wareemba,Wareemba,627.7,-33.856985,151.134936,False,5,normal,R2,False,False,True,True,,True
2B Gartfern Avenue Wareemba,Wareemba,559.9,-33.859579,151.1339,True,14,normal,R2,False,False,True,True,,True
3 Cecil Street Wareemba,Wareemba,591.7,-33.859343,151.130259,True,6,normal,R2,False,False,True,True,,True
